gtapv7_s26_sector_name,gtapv7_r50_id,year,ACTS,REG,shock
Fiber,46,2017,PFB,VNM,-8.136730413
Fruits and vegetables,46,2017,V_F,VNM,-8.136730413
Oilseed,46,2017,OSD,VNM,-8.136730413
Other,46,2017,OCR,VNM,-8.136730413
