gtapv7_s26_sector_name,gtapv7_r50_id,year,ACTS,REG,shock
Coarse grain,46,2017,GRO,XSMC,-3.92
Fiber,46,2017,PFB,XSMC,-3.92
Fruits and vegetables,46,2017,V_F,XSMC,-3.92
Oilseed,46,2017,OSD,XSMC,-3.92
Other,46,2017,OCR,XSMC,-3.92
Rice,46,2017,PDR,XSMC,-3.92
Sugar,46,2017,C_B,XSMC,-3.92
Wheat,46,2017,WHT,XSMC,-3.92
