gtapv7_s26_sector_name,gtapv7_r50_id,year,ACTS,REG,shock
Coarse grain,46,2017,GRO,XSMC,-4.4
Fiber,46,2017,PFB,XSMC,-4.4
Fruits and vegetables,46,2017,V_F,XSMC,-4.4
Oilseed,46,2017,OSD,XSMC,-4.4
Other,46,2017,OCR,XSMC,-4.4
Rice,46,2017,PDR,XSMC,-4.4
Sugar,46,2017,C_B,XSMC,-4.4
Wheat,46,2017,WHT,XSMC,-4.4
